ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
713;;Italy;24/02/2020;02/03/2020;Multiple regions in Italy such as Liguria, Trentino Alto Adige, Friuli Venezia Giulia, Abruzzo and Marche decided to close all schools and universities for two days to a week.;;;;school closure, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Abruzzo, Friuli Venezia Giulia, Liguria, Marche, Trentino Alto Adige;
708;;Italy;24/02/2020;;The Ministry of Health announced that it had engaged 31 laboratories in Italy to carry out the analysis of swabs from suspected COVID-19 cases.;;;;expansion of testing facilities;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
714;;Italy;24/02/2020;;Court proceedings were postponed until further notice;;;;court cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Abruzzo, Friuli Venezia Giulia, Liguria, Marche, Trentino Alto Adige;
707;;Italy;24/02/2020;;The governor of Basilicata, Vito Bardi, instituted a mandatory 14-day quarantine for people arriving from areas in Northern Italy affected by the outbreak;;;;domestic traveller quarantine;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Basilicata;
709;;Italy;24/02/2020;;Minister Roberto Speranza appointed Walter Ricciardi, a member of World Health Organization's executive committee and former president of Italian National Institute of Health, as a special adviser for relations between Italy and international health organisations.;;;;public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
710;;Italy;24/02/2020;;Filming of Mission: Impossible 7 starring Tom Cruise in Venice was halted.;;;;very large event cancellation or postponement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
711;;Italy;24/02/2020;;Major companies such as IBM, Enel, Luxottica, PwC and Vodafone continued to allow employees to work from home.;;;;remote work - limited;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
715;;Italy;24/02/2020;;Some of the residents inside the Red Zone managed to leave the quarantined areas daily, bypassing the checkpoints by going through back roads.;;;;quaratine violation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
480;;Czechia;24/02/2020;;On Monday, February 24, 2020, following the government meeting, Minister of Health Adam Vojtěch commented on the current situation regarding the spread of coronavirus in Italy. On Thursday, 27 February, the Minister convened the Central Epidemiological Commission. It also did not rule out possible further measures if Italy were unable to stop the spread of the virus. The Czech Republic is also strengthening state material reserves of medical supplies.;;;;public announcement;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
212;;Belgium;24/02/2020;;On 24 February, following the discovery of a COVID-19 case involving an Italian citizen, more than 100 Belgian citizens were put in quarantine in the H10 Costa Adeje Palace in Tenerife that was put on lockdown.;;;;case reporting, cohort isolation - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium;;;;
636;;South Korea;23/02/2020;;fast rate of transmission confirmed in the region- isolate first then conduct test ;;;Daegu, Gyeongbook Province;confirmed case isolation, public announcement;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
;;Georgia;23/02/2020;;"Georgia calls the outbreak of the coronavirus in neighboring Iran a ""serious concern"" and suspends direct flights with the Islamic Republic.";;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;Iran;;
;;Cyprus;23/02/2020;;Ministry of Health took the first set of measures on 23 January 2020, with strict controls on those arriving from China.;;;;;;https://in-cyprus.philenews.com/coronavirus-president-announces-new-measures-full-text-of-tv-address/;;China;;
701;;Italy;23/02/2020;;The Ocean Viking, a rescue ship operated by MSF and SOS Mediteranee that was carrying almost 300 migrants, was quarantined for 14 days in Pozzallo, Sicily.;;;cruise ship;international traveller screening - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
702;;Italy;23/02/2020;;Trenitalia and Italo, the major providers for Italy's high-speed trains, ordered the installation of hand-sanitiser dispensers on all trains as well as the distribution of masks, disposable gloves and disinfectants to all onboard staff members;;;;public mask and hygiene supply, public transport cleaning;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
703;;Italy;23/02/2020;;Supermarkets in Lombardy and Emilia-Romagna were emptied by customers as residents stockpiled food and supplies;;;;;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Lombardy;
704;;Italy;23/02/2020;;Streets, parks and train stations in multiple cities in Lombardy were left deserted.;;;;;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Lombardy;
695;;Italy;23/02/2020;01/03/2020;Educational trips to destinations in Italy and abroad were suspended. Universities in Lombardy, Veneto, Trentino Alto-Adige, Piedmont and Emilia-Romagna suspended all activities from 23 February until 1 March.;;;Emilia Romagna, Lombardy, Piedmont, Trentino Alto-Adige, Veneto;university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;Italy;;
683;;Iran;23/02/2020;06/03/2020;School and university closures;;;;school closure, university closure;;https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html;;;;
631;;South Korea;22/02/2020;;obtained attendance lists for the church event and conducted remote testings as soon as got in touch and asked the attendees to self-isolate ;;;Daegu, Gyeongbook Province;cohort isolation - no symptoms, test cohorts;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366607&act=view;;;;
633;;South Korea;22/02/2020;;patients in Chungdo Dae-nam Hospital received positive- cohort isolation ;;;Daegu, Gyeongbook Province;cohort isolation - no symptoms;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366607&act=view;;;;
691;;Italy;22/02/2020;;All public events were cancelled and some commercial activities[which?] were halted or were allowed to resume only until 6 p.m.;;;Lombardy, Veneto;limited nonessential business suspension, outdoor gatherings banned;100;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Emilia-Romagna, Lombardy, Veneto;
697;;Italy;22/02/2020;;Authorities in Veneto cancelled the last two days of the Carnival of Venice.[174] Authorities in Piedmont cancelled the last three days of the Carnival of Ivrea.;;;Lombardy, Veneto;very large event cancellation or postponement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Piedmont, Veneto;
692;;Italy;22/02/2020;;All religious services were cancelled.;;;Lombardy, Veneto;religious activity cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Emilia Romagna, Lombardy, Veneto;
699;;Italy;22/02/2020;;In addition to the emergency phone numbers 112 and 118, new dedicated numbers were added for the different regions — Lombardy 800894545, Campania 800909699, Veneto 800462340, Piedmont 800333444 and Emilia-Romagna 800033033;;;Emilia Romagna, Lombardy, Piedmont, Vampania, Veneto;phone line;;;;;;
;;Iraq;22/02/2020;;First case in Najaf, Iraq.;;;;first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iraq;;;;
696;;Italy;22/02/2020;;On 22 February 2020, Prime Minister Giuseppe Conte suspended all sporting events in the regions of Lombardy and Veneto, which included three Serie A football matches in those regions, as well as one in Piedmont, that were to be played the following day.[166][167][168] The following week, six Serie A matches were initially to be played behind closed doors, but all were later suspended,[169][170][171] as were two Coppa Italia matches.;;;Lombardy, Veneto;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Lombardy, Veneto;
689;;Italy;22/02/2020;;On 22 February, the government announced a new decree imposing the quarantine of more than 50,000 people from 11 different municipalities in Northern Italy. The quarantine zones are called the Red Zones and the areas in Lombardy and Veneto outside of them are called the Yellow Zones.[150] Penalties for violations range from a €206 fine to three months of imprisonment.[151] The Italian military and law enforcement agencies were instructed to secure and implement the lockdown.;;Bertonico, Casalpusterlengo, Castelgerundo, Castiglione d’Adda, Codogno, Fombio, Maleo, San Fiorano, Somaglia, Terranova, Vò;Lombardy, Veneto;cluster isolation - no symptoms, compulsory isolation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Lombardy, Veneto;
740;;Italy;22/02/2020;07/03/2020;Universities in Lombardy extended their closure until 7 March.;;;Lombardy;university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Lombardy;
690;;Italy;22/02/2020;;Schools were closed in ten municipalities in Lombardy, one in Veneto and one in Emilia Romagna.;;;Emilia Romagna, Lombardy, Veneto;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Emilia-Romagna, Lombardy, Veneto;
693;Codogno, Maleo and Casalpusterlengo;Italy;22/02/2020;;Regional train services to the most affected areas were suspended, with trains skipping stops at Codogno, Maleo and Casalpusterlengo stations.;;;Lombardy, Veneto;domestic travel limitation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
694;;Italy;22/02/2020;;People with symptoms were advised to call the 112 emergency number, instead of going directly to hospitals, in an effort to limit the disease's spread.[158] The Ministry of Health provided a website and a direct line (1500) from which people could obtain the latest updates and information, as well as report suspected cases;;;Lombardy, Veneto;phone line;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
698;;Italy;22/02/2020;;"La Scala, Duomo di Milano and Piccolo Teatro in Milan, as well as Basilica Di San Marco in Venice, were closed until further notice. A Giorgio Armani fashion show, which was scheduled on Sunday, the last day of Milan Fashion Week 2020, went ahead without any media or buyers present; it was instead streamed live online.";;;Lombardy, Veneto;activity cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
118;;China;22/02/2020;;Wuhan requires a 14-day quarantine for patients discharged from COVID-19.;;Wuhan;Hubei;compulsory isolation, confirmed case isolation, discharged patient isolation;;https://www.jiemian.com/article/4017540.html;;;;
627;;South Korea;21/02/2020;;Response team disinfecting the hospital and church facility, transferred 92 patients to quarantined hospital and no further accepting of other new patients and consultations;;;Daegu, Gyeongbook Province;hospital specialisation, public facility cleaning;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
;;Israel;21/02/2020;;The first case confirmed.;;;;first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel;;;;
117;;China;21/02/2020;;Wuhan finished the testing of all existing suspected patients, patients with fever, and people with close contact;;Wuhan;Hubei;test contacts, test symptomatic;;https://www.jiemian.com/article/4015978.html;;;;
446;;Romania;21/02/2020;;The Romanian government announced a 14-day quarantine for citizens returning from the affected regions.;;;;international traveller quarantine - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;;;
